,user name,tweet
68,ria,RT @goremachines: 2022 resolution: get skinny #thinspo #thighgap #skinny #proana #meanspo #edtwt #bonespo #ana https://t.co/Vm3itx7hzv
69,🌙,RT @goremachines: 2022 resolution: get skinny #thinspo #thighgap #skinny #proana #meanspo #edtwt #bonespo #ana https://t.co/Vm3itx7hzv
70,🌙,RT @rotfromwithin: ugh thinspo #edtwt #ed #thinspo #ana #diet #proana https://t.co/FRTSx7e67v
71,☾ he/xt/voh,not pro just using tags #edtwt #proana #pr0ana #meanspo #meansp0 #thinspo #thinsp0
72,ava,buying laxatives is soooooo embarrassing #edtwt #bulimic #proana
73,katz,heyy!! my last acc got deleted so here we are again #edtwt #ed #proana
74,marija,RT @rotfromwithin: ugh thinspo #edtwt #ed #thinspo #ana #diet #proana https://t.co/FRTSx7e67v
75,абортыш,RT @rotfromwithin: ugh thinspo #edtwt #ed #thinspo #ana #diet #proana https://t.co/FRTSx7e67v
76,ᴍɪᴍɪ 🤍🦋,"RT @50g0al: reminder and hack: you're not hungry its just your mind tricking you into being fat. go drink some water or tea. if you must, e…"
77,ᴍɪᴍɪ 🤍🦋,"RT @tryingtobe5: whenever you feel hungry or about to binge pick the seeds of a strawberry with tweezer, you get so focused #proana #EDtwt"
78,phiona,RT @CannibalSpiders: 🥱 please #proana #promia #edcoach #anacoach https://t.co/8QlrW8hPP7
79,M4NT4,"RT @leafcals: tw bodycheck (old)
#thinspo #proana #notprojustforreach #anorexia #bulimia #ana #edtwt #eatingdisorder

i miss :((( https://t…"
80,M4NT4,RT @minsthinspo: tags: #thinspo #armspo #legso #edtwt #proana #bonespo https://t.co/mJ4VFXl9Kz
81,M4NT4,RT @minsthinspo: tags: #thinspo #armspo #legso #edtwt #proana #bonespo https://t.co/kTwamNMGBB
82,M4NT4,RT @minsthinspo: tags: #thinspo #armspo #legso #edtwt #proana #bonespo https://t.co/SHWqkYjlSi
83,M4NT4,RT @minsthinspo: tags: #thinspo #armspo #legso #edtwt #proana #bonespo https://t.co/KY0luGWbOj
84,ed twt x nsfw twt | bi | taken !,"RT @miriamssy_: ✦ ⭒                     ⭒ ✦
☾ meanspo - a thread ☽

#proanatwt #proana #edtwt #meanspo #meansp0 #EDtwt https://t.co/9TuWqNv…"
85,ed twt x nsfw twt | bi | taken !,"RT @J0HNNYSWHORE: How I fast with strict bengali parents — 🍫

#edtwt #edtwtthread #proana #proanatwt #thinsp0 https://t.co/wPXDx1Ex0W"
86,lollirot,RT @goremachines: somebody buy me these pjssssss #thinspo #thighgap #skinny #proana #meanspo #edtwt #bonespo #ana https://t.co/BPGnGPw6TO
87,Alex,"52 hours in 

#edtwt #proana #thinspo https://t.co/eqYvvX4mHD"
88,EdKal3,Body check. #thinspo #proana #anatwt https://t.co/i5CNVTufyA
89,jabbbsjakab,RT @hungrydonteat: rt to not binge this month 😁🤚 manefestting it and making a weight loss spell :) #proana #proanatips #proed #promia #proe…
90,jabbbsjakab,"RT @fluffibear: "" Coffee boosts metabolism and is perfect to drink before workouts ""
☕💗
#thinspo #edtwt #proana #ana #proanatips https://t.…"
91,methskinny,"RT @proanacunt: meanspo thread!! :)
#proana #edtwt #promia #proed #thinspo #fatspo #meanspo #ed #spo"
92,-ʕ•̫͡•ʕ•̫͡•ʔ•̫͡•ʔ•̫͡•ʕ•̫͡•ʔ•̫͡•ʕ•̫͡•ʕ•̫͡•ʔ_,RT @minsthinspo: tags: #thinspo #armspo #legso #edtwt #proana #bonespo https://t.co/LtyLJhFcg2
93,shi1wo,RT @r4v3nsth1nsp0: NOT MY PICS} but huge thinspo 4 me #proana #probulimia #thinspo #deathspo #aesthetic #skinny #bonespo #anorexia #bulimia…
94,Ana Winter,Calories am 2468 because um why fat #proana
95,wren*edtwt,RT @r4v3nsth1nsp0: NOT MY PICS} but huge thinspo 4 me #proana #probulimia #thinspo #deathspo #aesthetic #skinny #bonespo #anorexia #bulimia…
96,Gage,RT @rotfromwithin: ugh thinspo #edtwt #ed #thinspo #ana #diet #proana https://t.co/FRTSx7e67v
